"Date","Citations","Cited Pages"
"7/15/2026 12:00:00 AM","28","1"
"7/16/2026 12:00:00 AM","9","1"
"7/17/2026 12:00:00 AM","0","0"
"7/18/2026 12:00:00 AM","8","1"
"7/19/2026 12:00:00 AM","0","0"
"7/20/2026 12:00:00 AM","4","1"
"7/21/2026 12:00:00 AM","0","0"
"7/22/2026 12:00:00 AM","1","1"
"7/23/2026 12:00:00 AM","0","0"
"7/24/2026 12:00:00 AM","0","0"
"7/25/2026 12:00:00 AM","13","1"
"7/26/2026 12:00:00 AM","0","0"
"7/27/2026 12:00:00 AM","14","2"
"7/28/2026 12:00:00 AM","17","1"
"7/29/2026 12:00:00 AM","16","4"
"7/30/2026 12:00:00 AM","40","2"
"7/31/2026 12:00:00 AM","34","3"
"8/1/2026 12:00:00 AM","15","3"
"8/2/2026 12:00:00 AM","0","0"
"8/3/2026 12:00:00 AM","7","1"
"8/4/2026 12:00:00 AM","14","3"
"8/5/2026 12:00:00 AM","12","1"
"8/6/2026 12:00:00 AM","3","1"
"8/7/2026 12:00:00 AM","86","1"
"8/8/2026 12:00:00 AM","162","3"
"8/9/2026 12:00:00 AM","205","3"
"8/10/2026 12:00:00 AM","217","3"
"8/11/2026 12:00:00 AM","222","5"
"8/12/2026 12:00:00 AM","196","5"
"8/13/2026 12:00:00 AM","149","4"
"8/14/2026 12:00:00 AM","283","4"
"8/15/2026 12:00:00 AM","302","6"
"8/16/2026 12:00:00 AM","263","4"
"8/17/2026 12:00:00 AM","230","4"
"8/18/2026 12:00:00 AM","256","5"
"8/19/2026 12:00:00 AM","134","2"
"8/20/2026 12:00:00 AM","162","2"
