"Date","Clicks","Impressions","Avg. CTR"
"7/15/2026 12:00:00 AM","0","14","0"
"7/16/2026 12:00:00 AM","0","21","0"
"7/17/2026 12:00:00 AM","1","19","5.26"
"7/18/2026 12:00:00 AM","0","9","0"
"7/19/2026 12:00:00 AM","0","6","0"
"7/20/2026 12:00:00 AM","0","12","0"
"7/21/2026 12:00:00 AM","1","11","9.09"
"7/22/2026 12:00:00 AM","0","8","0"
"7/23/2026 12:00:00 AM","0","9","0"
"7/24/2026 12:00:00 AM","0","1","0"
"7/25/2026 12:00:00 AM","0","7","0"
"7/26/2026 12:00:00 AM","0","15","0"
"7/27/2026 12:00:00 AM","0","10","0"
"7/28/2026 12:00:00 AM","0","8","0"
"7/29/2026 12:00:00 AM","2","27","7.41"
"7/30/2026 12:00:00 AM","0","19","0"
"7/31/2026 12:00:00 AM","1","23","4.35"
"8/1/2026 12:00:00 AM","2","56","3.57"
"8/2/2026 12:00:00 AM","0","39","0"
"8/3/2026 12:00:00 AM","0","25","0"
"8/4/2026 12:00:00 AM","1","12","8.33"
"8/5/2026 12:00:00 AM","0","7","0"
"8/6/2026 12:00:00 AM","0","11","0"
"8/7/2026 12:00:00 AM","0","15","0"
"8/8/2026 12:00:00 AM","2","16","12.5"
"8/9/2026 12:00:00 AM","0","21","0"
"8/10/2026 12:00:00 AM","0","26","0"
"8/11/2026 12:00:00 AM","0","26","0"
"8/12/2026 12:00:00 AM","0","39","0"
"8/13/2026 12:00:00 AM","1","19","5.26"
"8/14/2026 12:00:00 AM","0","44","0"
"8/15/2026 12:00:00 AM","1","38","2.63"
"8/16/2026 12:00:00 AM","0","45","0"
"8/17/2026 12:00:00 AM","0","40","0"
"8/18/2026 12:00:00 AM","0","42","0"
"8/19/2026 12:00:00 AM","0","21","0"
"8/20/2026 12:00:00 AM","0","52","0"
