Country,Clicks,Impressions,CTR,Position
United States,3,3245,0.09%,43.06
Poland,2,11,18.18%,64
United Kingdom,1,584,0.17%,39.24
Sweden,1,227,0.44%,49.54
Kenya,1,4,25%,29.5
Ireland,0,1423,0%,45.11
Netherlands,0,1186,0%,42.34
Canada,0,846,0%,44.58
Australia,0,826,0%,34.71
New Zealand,0,528,0%,44.67
Germany,0,411,0%,41.75
Spain,0,290,0%,36.07
Norway,0,215,0%,48.97
Brazil,0,165,0%,46.82
Russia,0,104,0%,60.72
India,0,88,0%,41.32
Latvia,0,62,0%,32.63
Switzerland,0,61,0%,53.31
Japan,0,53,0%,25.74
France,0,53,0%,38.13
Austria,0,48,0%,41.96
Mexico,0,39,0%,32.54
Nigeria,0,39,0%,40.23
Vietnam,0,37,0%,43.68
Czechia,0,31,0%,44.26
Italy,0,22,0%,30.68
Belgium,0,21,0%,49.14
Indonesia,0,16,0%,39.44
Philippines,0,16,0%,41
Argentina,0,16,0%,42.56
Pakistan,0,16,0%,48
Denmark,0,15,0%,36.73
Turkey,0,14,0%,35.57
Finland,0,14,0%,50.57
Luxembourg,0,14,0%,54.86
Chile,0,12,0%,43.92
Portugal,0,11,0%,54.27
Saudi Arabia,0,10,0%,42
Ukraine,0,10,0%,56.8
Slovenia,0,10,0%,69.4
Hungary,0,9,0%,34.67
Singapore,0,9,0%,48.11
South Africa,0,8,0%,33.62
Romania,0,8,0%,42.75
Lithuania,0,8,0%,50.38
Estonia,0,8,0%,52.25
Venezuela,0,7,0%,40.86
Thailand,0,7,0%,53.29
United Arab Emirates,0,5,0%,31.4
Egypt,0,5,0%,40.2
Malaysia,0,5,0%,45
Peru,0,5,0%,45.2
Morocco,0,5,0%,48
Cambodia,0,5,0%,49.4
Colombia,0,4,0%,30.75
Israel,0,4,0%,36
Bangladesh,0,4,0%,37.25
Costa Rica,0,4,0%,48.75
Bulgaria,0,4,0%,50.75
Mongolia,0,3,0%,24
Jordan,0,3,0%,35
Malta,0,3,0%,35.67
Algeria,0,3,0%,41.33
South Korea,0,3,0%,45.33
Oman,0,2,0%,26
Macedonia,0,2,0%,30.5
Greece,0,2,0%,31.5
Hong Kong,0,2,0%,32
Botswana,0,2,0%,38.5
Myanmar (Burma),0,2,0%,42
Jamaica,0,2,0%,42.5
Honduras,0,2,0%,44.5
Bolivia,0,2,0%,52.5
El Salvador,0,2,0%,62.5
Cyprus,0,1,0%,5
Burkina Faso,0,1,0%,7
Belarus,0,1,0%,7
Iran,0,1,0%,7
Dominican Republic,0,1,0%,25
Kuwait,0,1,0%,26
Grenada,0,1,0%,28
Senegal,0,1,0%,29
Paraguay,0,1,0%,32
Togo,0,1,0%,37
Azerbaijan,0,1,0%,38
Kazakhstan,0,1,0%,39
Syria,0,1,0%,40
Unknown Region,0,1,0%,40
Zimbabwe,0,1,0%,42
Congo - Brazzaville,0,1,0%,43
Curaçao,0,1,0%,44
Panama,0,1,0%,46
Iraq,0,1,0%,47
Palestine,0,1,0%,51
Ethiopia,0,1,0%,52
Croatia,0,1,0%,52
Taiwan,0,1,0%,52
Mozambique,0,1,0%,53
Georgia,0,1,0%,56
Qatar,0,1,0%,56
Kosovo,0,1,0%,56
Uruguay,0,1,0%,57
Ghana,0,1,0%,58
Serbia,0,1,0%,60
Nepal,0,1,0%,63
Guatemala,0,1,0%,66
Macau,0,1,0%,71
Ecuador,0,1,0%,74
