"Page","Impressions","Clicks","CTR","Avg. Position"
"https://www.playmagpie.com/reviews/cloudbet","723","17","2.35%","6.428765283540801"
"https://www.playmagpie.com/guides/why-is-my-crypto-casino-withdrawal-pending","379","3","0.79%","6.875979683377309"
"https://www.playmagpie.com/guides/how-crypto-casino-withdrawals-work","39","1","2.56%","5.948717948717949"
"https://www.playmagpie.com/high-roller-casinos","36","0","0%","7.805563888888888"
"https://www.playmagpie.com/country/australia","27","0","0%","8.259244444444445"
"https://www.playmagpie.com/reviews/roobet","25","2","8%","6.399996"
"https://www.playmagpie.com/reviews/bc-game/kyc","22","0","0%","4.136368181818182"
"https://www.playmagpie.com/country/germany","22","0","0%","8.045454545454545"
"https://www.playmagpie.com/reviews/cloudbet/kyc","16","0","0%","3.875"
"https://www.playmagpie.com/reviews/bc-game","8","0","0%","5.125"
"https://www.playmagpie.com/reviews/bitstarz","8","0","0%","7.5"
"https://www.playmagpie.com/reviews/bitstarz/payment-methods","5","0","0%","4.4"
"https://www.playmagpie.com/reviews/duelbits","5","0","0%","3.4"
"https://www.playmagpie.com/bonus/no-deposit-bonus","4","0","0%","5.5"
"https://www.playmagpie.com/reviews/bitstarz/kyc","4","0","0%","4"
"https://www.playmagpie.com/country","4","0","0%","1.75"
"https://www.playmagpie.com/guides","2","0","0%","10"
"https://www.playmagpie.com/country/japan","2","1","50%","2"
"https://www.playmagpie.com/reviews/7bit-casino","1","0","0%","3"
"https://www.playmagpie.com/reviews/mirax-casino","1","0","0%","10"
"https://www.playmagpie.com/reviews/shuffle","1","0","0%","10"
"https://www.playmagpie.com/no-kyc-casinos","1","0","0%","10"
"https://www.playmagpie.com/guides/bitcoin-vs-usdt-casinos","1","0","0%","5"
