"Page","Impressions","Clicks","CTR","Avg. Position"
"https://www.playmagpie.com/reviews/cloudbet","241","5","2.07%","6.9585024896265555"
"https://www.playmagpie.com/country/germany","20","0","0%","8.05"
"https://www.playmagpie.com/reviews/bc-game/kyc","17","0","0%","4.705888235294118"
"https://www.playmagpie.com/guides/why-is-my-crypto-casino-withdrawal-pending","16","1","6.25%","5.75"
"https://www.playmagpie.com/guides/how-crypto-casino-withdrawals-work","14","0","0%","6.285714285714286"
"https://www.playmagpie.com/high-roller-casinos","10","0","0%","7.7"
"https://www.playmagpie.com/reviews/roobet","7","1","14.290000000000001%","5.142842857142857"
"https://www.playmagpie.com/bonus/no-deposit-bonus","4","0","0%","5.5"
"https://www.playmagpie.com/reviews/bitstarz/kyc","4","0","0%","4"
"https://www.playmagpie.com/reviews/duelbits","4","0","0%","3.75"
"https://www.playmagpie.com/reviews/bitstarz/payment-methods","3","0","0%","6.666666666666667"
"https://www.playmagpie.com/country","3","0","0%","2"
"https://www.playmagpie.com/reviews/cloudbet/kyc","3","0","0%","2.6666666666666665"
"https://www.playmagpie.com/reviews/bc-game","2","0","0%","2"
"https://www.playmagpie.com/country/japan","2","1","50%","2"
"https://www.playmagpie.com/guides/bitcoin-vs-usdt-casinos","1","0","0%","5"
